_id,Season,AwayTeam,HomeTeam,MatchDate,Date,FTR,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,League,HomeResultScore,AwayResultScore,HDI,ADI,HGL5,AGL5,HTHF5,ATAF5,HDIL5,ADIL5,HTFL5,ATFL5,HT_PTS_HOME,HT_PTS_AWAY,HTSP,AT_PTS_AWAY,AT_PTS_HOME,ATSP,HTASG,ATASG,SGD
"ObjectId(""682b8a7d0b6a9f2c872ef668"")",2425,Udinese,Como,2025-01-20T00:00:00.000Z,20/01/2025,H,4,1,2.0,0.0,11.0,6.0,8.0,2.0,3.0,2.0,10.0,16.0,2.0,4.0,1.0,1.0,I1,3,0,35.0,45.0,6.0,6.0,7.0,8.0,100.0,60.0,7.0,6.0,29,20,49,20,29,49,28,19,9
"ObjectId(""682b8a7d0b6a9f2c872ef669"")",2425,Udinese,Fiorentina,2024-12-23T00:00:00.000Z,23/12/2024,A,1,2,1.0,0.0,14.0,11.0,3.0,4.0,10.0,2.0,10.0,14.0,2.0,5.0,0.0,0.0,I1,0,3,10.0,25.0,13.0,6.0,15.0,4.0,55.0,85.0,12.0,4.0,37,13,50,20,29,49,29,19,10
"ObjectId(""682b8a7d0b6a9f2c872ef66a"")",2425,Udinese,Milan,2024-10-19T00:00:00.000Z,19/10/2024,H,1,0,1.0,0.0,10.0,13.0,5.0,1.0,8.0,4.0,3.0,14.0,2.0,3.0,1.0,0.0,I1,3,0,35.0,15.0,9.0,4.0,7.0,4.0,45.0,45.0,10.0,9.0,31,16,47,20,29,49,28,19,9
"ObjectId(""682b8a7d0b6a9f2c872ef6bb"")",2425,Mainz,Dortmund,2025-03-30T00:00:00.000Z,30/03/2025,H,3,1,2.0,0.0,18.0,12.0,7.0,3.0,6.0,4.0,10.0,8.0,2.0,0.0,0.0,0.0,D1,3,0,10.0,0.0,0.0,5.0,0.0,6.0,5.0,10.0,3.0,7.0,9,3,12,9,9,18,10,10,0
"ObjectId(""682b8a7d0b6a9f2c872ef6bc"")",2425,Mainz,Bochum,2025-05-10T00:00:00.000Z,10/05/2025,A,1,4,0.0,1.0,11.0,22.0,6.0,8.0,6.0,6.0,9.0,6.0,3.0,0.0,0.0,0.0,D1,0,3,15.0,0.0,3.0,6.0,1.0,6.0,50.0,55.0,2.0,3.0,1,16,17,9,9,18,4,10,-6
"ObjectId(""682b8a7d0b6a9f2c872ef6bd"")",2425,Mainz,Bayern Munich,2025-04-26T00:00:00.000Z,26/04/2025,H,3,0,2.0,0.0,14.0,8.0,6.0,3.0,4.0,4.0,13.0,17.0,2.0,2.0,0.0,0.0,D1,3,0,10.0,10.0,7.0,6.0,4.0,6.0,40.0,45.0,11.0,3.0,10,4,14,9,9,18,12,10,2
"ObjectId(""682b8a7d0b6a9f2c872ef6bf"")",2425,Mainz,Hoffenheim,2025-04-12T00:00:00.000Z,12/04/2025,H,2,0,2.0,0.0,8.0,14.0,5.0,1.0,4.0,7.0,18.0,11.0,4.0,2.0,0.0,1.0,D1,3,0,20.0,35.0,2.0,6.0,2.0,6.0,15.0,10.0,5.0,8.0,5,5,10,9,9,18,6,10,-4
"ObjectId(""682b8a7d0b6a9f2c872ef702"")",2425,Nantes,Montpellier,2024-08-31T00:00:00.000Z,31/08/2024,A,1,3,1.0,2.0,11.0,10.0,5.0,5.0,8.0,3.0,11.0,13.0,2.0,2.0,0.0,0.0,F1,0,3,10.0,10.0,1.0,0.0,1.0,1.0,20.0,15.0,1.0,4.0,13,34,47,15,30,45,17,20,-3
"ObjectId(""682b8a7d0b6a9f2c872ef703"")",2425,Nantes,Lens,2024-11-09T00:00:00.000Z,09/11/2024,H,3,2,1.0,1.0,15.0,9.0,3.0,3.0,6.0,1.0,14.0,8.0,2.0,0.0,0.0,0.0,F1,3,0,10.0,0.0,2.0,5.0,5.0,5.0,90.0,70.0,5.0,2.0,20,26,46,15,30,45,15,20,-5
"ObjectId(""682b8a7d0b6a9f2c872ef705"")",2425,Nantes,St Etienne,2025-01-19T00:00:00.000Z,19/01/2025,D,1,1,0.0,1.0,12.0,8.0,2.0,4.0,7.0,7.0,9.0,11.0,2.0,1.0,0.0,0.0,F1,1,1,10.0,5.0,6.0,6.0,9.0,2.0,45.0,40.0,3.0,6.0,21,24,45,15,30,45,22,20,2
